Πρόγραμμα 'Καλλικράτης' (Ενημερώσεις μέχρι 31/12/2010),,,,
"(1) ΕΠΙΠΕΔΑ: 1=Μεγάλες γεωγραφικές ενότητες, 2=Αποκεντρωμένες Διοικήσεις, 3=Περιφέρειες, 4=Περιφεριακές ενότητες, 5=Δήμοι, 6=Δημοτικές Ενότητες, 7=Δημοτικές/Τοπικές Κοινότητες, 8=Οικισμοί",,,,
"(2) ΚΩΔΙΚΟΙ για:  Μεγάλες γεωγραφικές ενότητες, Αποκεντρωμένες Διοικήσεις, Περιφέρειες",,,,
,Επίπεδο (1),Κωδικοί,,Περιγραφή 
α/α,,(2), Κωδικός ΚΑΛΛΙΚΡΑΤΗ,
,,,,
186,8,111,0103010103,"Διαλαμπή,η"
187,8,111,0103010104,"Ιππικόν,το"
188,8,111,0103010105,"Κοπτερόν,το"
189,8,111,0103010106,"Μελίταινα,η"
190,8,111,0103010107,"Μωσαϊκόν,το"
191,8,111,0103010108,"Πολύαρνον,το"
192,8,111,0103010109,"Ταγγαίον,το"
193,7,111,01030102,Τοπική Κοινότητα Αμβροσίας
194,8,111,0103010201,"Αμβροσία,η"
195,8,111,0103010202,"Μικρόν Παλλάδιον,το"
196,8,111,0103010203,"Παλλάδιον,το"
197,7,111,01030103,Τοπική Κοινότητα Σάλπης
198,8,111,0103010301,"Σάλπη,η"
199,8,111,0103010302,"Γλυκονέριον,το"
200,6,111,010302,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΜΑΞΑΔΩΝ
201,7,111,01030201,Τοπική Κοινότητα Αμαξάδων
202,8,111,0103020101,"Αμαξάδες,οι"
203,8,111,0103020102,"Άνω Αμαξάδες,οι"
204,8,111,0103020103,"Μοναχοί,οι"
205,6,111,010303,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΩΣΤΟΥ
206,7,111,01030301,Τοπική Κοινότητα Σώστη
207,8,111,0103030101,"Σώστης,ο"
208,7,111,01030302,Δημοτική Κοινότητα Ασωμάτων
209,8,111,0103030201,"Αγίασμα,το"
210,8,111,0103030202,"Ασώματοι,οι"
211,8,111,0103030203,"Δύμη,η"
212,8,111,0103030204,"Θάμνα,τα"
213,8,111,0103030205,"Πανεπιστημιούπολη, η (Φοιτητικές Εστίες Δ.Π.Θ.)"
214,8,111,0103030206,"Ρίζωμα,το"
215,8,111,0103030207,"Φωλέα,η"
216,7,111,01030303,Τοπική Κοινότητα Κερασέας
217,8,111,0103030301,"Κερασέα,η"
218,7,111,01030304,Τοπική Κοινότητα Ληνού
219,8,111,0103030401,"Ληνός,ο"
220,7,111,01030305,Τοπική Κοινότητα Μέγα Πιστού
221,8,111,0103030501,"Μέγα Πιστόν,το"
222,7,111,01030306,Τοπική Κοινότητα Μίσχου
223,8,111,0103030601,"Μίσχος,ο"
224,7,111,01030307,Τοπική Κοινότητα Πολυάνθου
225,8,111,0103030701,"Πολύανθον,το"
226,8,111,0103030702,"Κρυστάλλη,η"
227,8,111,0103030703,"Τρίκορφον,το"
228,5,111,0104,ΔΗΜΟΣ ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ
229,6,111,010401,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΑΠΩΝ
230,7,111,01040101,Δημοτική Κοινότητα Σαπών
231,8,111,0104010101,"Σάπαι,οι"
232,8,111,0104010102,"Αετοκορυφή,η"
233,8,111,0104010103,"Αρσάκειον,το"
234,8,111,0104010104,"Βέλκιον,το"
235,8,111,0104010105,"Κασσιτερά,τα"
236,8,111,0104010106,"Πρωτάτον,το"
237,8,111,0104010107,"Τσιφλίκιον,το"
238,8,111,0104010108,"Χαμηλόν,το"
239,7,111,01040102,Τοπική Κοινότητα Αμφίας
240,8,111,0104010201,"Αμφία,τα"
241,7,111,01040103,Τοπική Κοινότητα Αρίσβης
242,8,111,0104010301,"Αρίσβη,η"
243,7,111,01040104,Τοπική Κοινότητα Εβρίνου
244,8,111,0104010401,"Εβρίνος,ο"
245,7,111,01040105,Τοπική Κοινότητα Ιασίου
246,8,111,0104010501,"Ιάσιον,το"
247,7,111,01040106,Τοπική Κοινότητα Κιζαρίου
248,8,111,0104010601,"Κιζάριον,το"
249,7,111,01040107,Τοπική Κοινότητα Κρωβύλης
250,8,111,0104010701,"Κρωβύλη,η"
251,8,111,0104010702,"Παλαιά Κρωβύλη,η"
252,8,111,0104010703,"Πετρωτά,τα"
253,7,111,01040108,Τοπική Κοινότητα Λοφαρίου
254,8,111,0104010801,"Λοφάριον,το"
255,8,111,0104010802,"Αετόλοφος,ο"
256,7,111,01040109,Τοπική Κοινότητα Νέας Σάντας
257,8,111,0104010901,"Νέα Σάντα,η"
258,7,111,01040110,Τοπική Κοινότητα Στρύμης (Στρύμνης)
259,8,111,0104011001,"Στρύμη,η"
260,8,111,0104011002,"Διώνη,η"
261,6,111,010402,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΑΡΩΝΕΙΑΣ
262,7,111,01040201,Δημοτική Κοινότητα Ξυλαγανής
263,8,111,0104020101,"Ξυλαγανή,η"
264,8,111,0104020102,"Εργάνη,η"
